the expected sun intensity is,14.12
the expected windstrength is,2.66

Weather forecast in,Kati,for,2020-05-04 12:00:00
the expected maximum temperature is,43.14
the expected sun intensity is,14.72
the expected windstrength is,3.56

Weather forecast in,Kati,for,2020-05-05 12:00:00
the expected maximum temperature is,42.4
the expected sun intensity is,14.32
the expected windstrength is,2.74

Weather forecast in,Koulikoro,for,2020-04-30 12:00:00
the expected maximum temperature is,41
the expected sun intensity is,14.67
the expected windstrength is,0.5

Weather forecast in,Koulikoro,for,2020-05-01 12:00:00
the expected maximum temperature is,44.55
the expected sun intensity is,14.39
the expected windstrength is,3.35

Weather forecast in,Koulikoro,for,2020-05-02 12:00:00
the expected maximum temperature is,43.99
the expected sun intensity is,13.66
the expected windstrength is,2.22

Weather forecast in,Koulikoro,for,2020-05-03 12:00:00
the expected maximum temperature is,44.18
the expected sun intensity is,14.2
the expected windstrength is,3.04

Weather forecast in,Koulikoro,for,2020-05-04 12:00:00
the expected maximum temperature is,44.14
the expected sun intensity is,14.66
the expected windstrength is,3.39

Weather forecast in,Koulikoro,for,2020-05-05 12:00:00
the expected maximum temperature is,43.43
the expected sun intensity is,14.14
the expected windstrength is,2.31

Weather forecast in,Tessalit,for,2020-04-30 11:00:00
the expected maximum temperature is,41.26
the expected sun intensity is,14.32
the expected windstrength is,7.44

Weather forecast in,Tessalit,for,2020-05-01 11:00:00
the expected maximum temperature is,41.67
the expected sun intensity is,13.42
the expected windstrength is,5.12

Weather forecast in,Tessalit,for,2020-05-02 11:00:00
the expected maximum temperature is,39.61
the expected sun intensity is,13.11
the expected windstrength is,5.81

Weather forecast in,Tessalit,for,2020-05-03 11:00:00
the expected maximum temperature is,40.94
the expected sun intensity is,13.36
the expected windstrength is,4.33

Weather forecast in,Tessalit,for,2020-05-04 11:00:00
the expected maximum temperature is,42.35
the expected sun intensity is,12.95
the expected windstrength is,3.27

Weather forecast in,Tessalit,for,2020-05-05 11:00:00
the expected maximum temperature is,42.86
the expected sun intensity is,13.05
the expected windstrength is,1.96
